route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Lawson Heights / City Centre,3,000000,FFCCCC,,10825,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,30
Lakeview / University,3,000000,FF8000,,10772,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,50
Willowgrove / City Centre,3,000000,FF8000,,10770,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,44
Arbor Creek / City Centre,3,000000,A47CC1,,10771,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,45
SaskTel Centre,3,000000,ED0874,,10822,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,25
Forest Grove / University,3,000000,FF8000,,10823,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,26
University,3,000000,4863E5,,10820,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,21
Sasktel Centre / North Ind,3,000000,000000,,10775,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,514
Lakeridge / University,3,000000,FF8000,,10778,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,55
"Cross, Murray & Bowman",3,000000,FF8000,,10829,https://transit.saskatoon.ca/2016-route-change/2016-schedules-and-routes,,311
